"group","gene","replicate","time","log2exp"
"group2","141404_at","C",7,10.2217409167321
"group2","141404_at","C",8,10.6304344421617
"group2","141404_at","C",9,12.5322645411392
"group2","141404_at","C",10,13.713303809821
"group2","141404_at","C",11,14.3372554970174
"group2","141404_at","C",12,14.5641843426793
"group2","142200_at","A",1,8.76271352130764
"group2","142200_at","A",2,8.69180587748694
"group2","142200_at","A",3,10.6472182434955
"group2","142200_at","A",4,12.3630433947697
"group2","142200_at","A",5,12.7228301828711
"group2","142200_at","A",6,13.1638284931669
"group2","142200_at","A",7,13.5875597031915
"group2","142200_at","A",8,13.4989191897315
"group2","142200_at","A",9,13.4785970810099
"group2","142200_at","A",10,13.5960251882402
"group2","142200_at","A",11,13.5477745681964
"group2","142200_at","A",12,13.6060712853105
"group2","142200_at","B",1,8.79389444227087
"group2","142200_at","B",2,9.20168481784352
"group2","142200_at","B",3,10.1478298909114
"group2","142200_at","B",4,11.4795200909087
"group2","142200_at","B",5,12.0094163815756
"group2","142200_at","B",6,12.5779075905627
"group2","142200_at","B",7,13.1972103858606
"group2","142200_at","B",8,13.0032282872441
"group2","142200_at","B",9,12.9003520498637
"group2","142200_at","B",10,8.76634056006792
"group2","142200_at","B",11,13.0935962989536
"group2","142200_at","B",12,13.2330023966576
"group2","142200_at","C",1,8.59723084522585
"group2","142200_at","C",2,8.8491060956953
"group2","142200_at","C",3,10.7589473550968
"group2","142200_at","C",4,12.102337518842
"group2","142200_at","C",5,13.0381226599059
"group2","142200_at","C",6,12.8967932400563
"group2","142200_at","C",7,13.2892503697699
"group2","142200_at","C",8,13.5965526578795
"group2","142200_at","C",9,13.7297205805878
"group2","142200_at","C",10,13.4039402201511
"group2","142200_at","C",11,13.7551256516144
"group2","142200_at","C",12,13.6840603057315
"group2","142356_at","A",1,7.28557445584872
"group2","142356_at","A",2,7.39016122704684
"group2","142356_at","A",3,7.79357220778918
"group2","142356_at","A",4,8.76304596206221
"group2","142356_at","A",5,9.55497823990932
"group2","142356_at","A",6,11.7508624764817
"group2","142356_at","A",7,12.4382294813749
"group2","142356_at","A",8,12.2773211411075
"group2","142356_at","A",9,12.6160557186068
"group2","142356_at","A",10,13.3892894591735
"group2","142356_at","A",11,13.7262256595025
"group2","142356_at","A",12,14.0012223564918
"group2","142356_at","B",1,6.93292887150742
"group2","142356_at","B",2,7.38797084760745
"group2","142356_at","B",3,7.4388158114696
"group2","142356_at","B",4,8.05726748470109
"group2","142356_at","B",5,9.53594844271614
"group2","142356_at","B",6,11.2527629764258
"group2","142356_at","B",7,12.3077297225063
"group2","142356_at","B",8,12.1411866643784
"group2","142356_at","B",9,12.4747841999931
"group2","142356_at","B",10,13.2545217826737
"group2","142356_at","B",11,13.3228644364327
"group2","142356_at","B",12,13.775259605277
"group2","142356_at","C",1,7.61335213319877
"group2","142356_at","C",2,7.51238913969236
"group2","142356_at","C",3,7.98718020861798
"group2","142356_at","C",4,8.71033786696646
"group2","142356_at","C",5,10.5354678078057
"group2","142356_at","C",6,11.1537799009978
"group2","142356_at","C",7,11.9494635044117
"group2","142356_at","C",8,12.3436158503172
"group2","142356_at","C",9,12.9493165873988
"group2","142356_at","C",10,13.2985257844808
"group2","142356_at","C",11,13.747544938816
"group2","142356_at","C",12,13.8350673157243
"group2","143051_at","A",1,6.3105850710604
"group2","143051_at","A",2,6.35436446837254
"group2","143051_at","A",3,6.96848091352077
"group2","143051_at","A",4,8.76964541315513
"group2","143051_at","A",5,9.44557963711358
"group2","143051_at","A",6,11.6096973595863
"group2","143051_at","A",7,11.9187233213649
"group2","143051_at","A",8,11.8392196190194
"group2","143051_at","A",9,12.2146169679833
"group2","143051_at","A",10,12.621680990267
"group2","143051_at","A",11,12.6449007876156
"group2","143051_at","A",12,12.3857600793383
"group2","143051_at","B",1,6.92206353357232
"group2","143051_at","B",2,6.27295005096213
"group2","143051_at","B",3,7.19894000949492
"group2","143051_at","B",4,8.17976588849682
"group2","143051_at","B",5,9.33763649590338
"group2","143051_at","B",6,11.1900652773825
"group2","143051_at","B",7,11.9987778001645
"group2","143051_at","B",8,11.9111616058914
"group2","143051_at","B",9,12.2515754024602
"group2","143051_at","B",10,12.1617685907067
"group2","143051_at","B",11,12.2557517731432
"group2","143051_at","B",12,12.1452306815763
"group2","143051_at","C",1,6.3241533400904
"group2","143051_at","C",2,6.50055838001949
"group2","143051_at","C",3,6.91289363318253
"group2","143051_at","C",4,8.67684681870703
"group2","143051_at","C",5,10.0543816809499
"group2","143051_at","C",6,11.1051314137571
"group2","143051_at","C",7,11.5025120933035
